date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-29 23:59:59,suhighness,,0,1,5,"Can I talk about the coronavirus in my personal statement?",,,,1244414030539657223,https://twitter.com/suhighness/status/1244414030539657223
2020-03-29 23:59:59,MeL8tleigh,ryanstruyk,0,0,0," Is there a way to revoke someone’s Twitter account? A petition? Report his account as a danger and menace to society? (Malaria med deaths - case in point.) #TrumpVirus #coronavirus #Covid_19 #EveryLifeIsPrecious #100000No ",,,#TrumpVirus #coronavirus #Covid_19 #EveryLifeIsPrecious #100000No,1244414030418067456,https://twitter.com/MeL8tleigh/status/1244414030418067456
2020-03-29 23:59:59,npquarterly,,0,2,1,"Will the #coronavirus pandemic of 2020 come to be seen as a momentary interruption, or will it compel us to rethink how we organize our society and economy? Only time will tell, but we must act wisely! #COVID19",,,#coronavirus #COVID19,1244414029864603657,https://twitter.com/npquarterly/status/1244414029864603657
2020-03-29 23:59:59,AGlamourama,realDonaldTrump,0,0,0,"Why would you even mention such a gossipy, petty thing? Focus on CORONAVIRUS. Focus on life-saving equipment.",,,,1244414028023283712,https://twitter.com/AGlamourama/status/1244414028023283712
2020-03-29 23:59:58,TonyaSmith007,Kpags1,5,3,6,"So...according to this LuWuh.... it took an entire country to do what ONE AMERICAN could do?? China didn't save the world. It's called the Wuhan Coronavirus for a reason. ",,,,1244414027595501571,https://twitter.com/TonyaSmith007/status/1244414027595501571
2020-03-29 23:59:58,pedrohcponchio,,0,0,0,"Coronavirus Disease 2019 (COVID-19) - Transmission https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/how-covid-spreads.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fcoronavirus%2F2019-ncov%2Fprepare%2Ftransmission.html via @CDCgov",,@CDCgov,,1244414026274267138,https://twitter.com/pedrohcponchio/status/1244414026274267138
2020-03-29 23:59:58,ClubLuxOnline,,1,0,1,"Another 30 days? Take your club and social desires to Club Lux. Our newly revamped design makes it easy to select which DJs to hear with just a click of a button. Quarantine ≠ Social Isolation (Just do it online!) #coronavirus #Covid_19 #COVID",,,#coronavirus #Covid_19 #COVID,1244414025821290496,https://twitter.com/ClubLuxOnline/status/1244414025821290496
2020-03-29 23:59:58,Rachel_Kyleen,,0,0,0,"So we are currently on the order of the Phoenix in our Harry Potter marathon and all I have to say is... Voldemort is the coronavirus and the ministry is the trump administration... that is all.",,,,1244414025745584129,https://twitter.com/Rachel_Kyleen/status/1244414025745584129
2020-03-29 23:59:58,inlifeasinart,,0,0,1,"Scary times right now. #Coronavirus #COVID19 If you like to muse about all the different ways the world could end, here's a 10-episode indulgence [podcast]:",,,#Coronavirus #COVID19,1244414025082892289,https://twitter.com/inlifeasinart/status/1244414025082892289
2020-03-29 23:59:58,RisatoNicola,,0,1,0,"#Trump extends #coronavirus guidelines, braces #US for big death toll.",,,#Trump #coronavirus #US,1244414024634302464,https://twitter.com/RisatoNicola/status/1244414024634302464
2020-03-29 23:59:58,tmcrypto1,,0,0,0,"A 3rd #NYPD member dies of #coronavirus after hundreds of officers test positive ",,,#NYPD #coronavirus,1244414024395218947,https://twitter.com/tmcrypto1/status/1244414024395218947
2020-03-29 23:59:57,superbondgirl,,0,0,2,"#newepisode #Coronavirus in Italy ( Day 21) - The Super Bond Girl Show https://youtu.be/lV8geIt7j9s via @YouTube #virus #SuperBondGirl #NancyTiscareno #Italy #Napoli",,@YouTube,#newepisode #Coronavirus #virus #SuperBondGirl #NancyTiscareno #Italy #Napoli,1244414023052951553,https://twitter.com/superbondgirl/status/1244414023052951553
2020-03-29 23:59:57,jamescarrow,,0,0,0,"Knicks owner, MSG chairman James Dolan has coronavirus - ABC News ",,,,1244414022742507521,https://twitter.com/jamescarrow/status/1244414022742507521
2020-03-29 23:59:57,beezling,DeFeliceJanette,0,0,1,"Trying to find city-level data on coronavirus cases. Not having much luck though. Also info on mortality rates for ventilated COVID patients. most recent I've found: ",,,,1244414022667005952,https://twitter.com/beezling/status/1244414022667005952
2020-03-29 23:59:57,ShannonTracy123,DrofnasInTexas,1,0,1,"Yes. But I think prices r going up in general. So, another symptom of Coronavirus...we r gonna make less $$$and have to spend more. Oh yay...maybe it will be over soon.",,,,1244414021283053575,https://twitter.com/ShannonTracy123/status/1244414021283053575
2020-03-29 23:59:57,kwekhu_arthur,,0,0,5,"I can’t wait for the day they announce this whole coronavirus is gone and we can go back to normal. ",,,,1244414021236928514,https://twitter.com/kwekhu_arthur/status/1244414021236928514
2020-03-29 23:59:57,bonita_hoss,,0,0,0,"Whistleblowers silenced by China could have stopped global coronavirus s... https://youtu.be/pEQcvcyzQGE via @YouTube",,@YouTube,,1244414021106884608,https://twitter.com/bonita_hoss/status/1244414021106884608
2020-03-29 23:59:57,FunGeekZ,,0,0,0,"I don't have money for either as I'm out of work though not due to #Covid_19 #coronavirus or #CoronaLockdown But just hard times",,,#Covid_19 #coronavirus #CoronaLockdown,1244414020909592577,https://twitter.com/FunGeekZ/status/1244414020909592577
2020-03-29 23:59:56,WendyYRN,,0,0,0,"British government reportedly furious with China for disinformation campaign over the coronavirus ",,,,1244414019336732672,https://twitter.com/WendyYRN/status/1244414019336732672
2020-03-29 23:59:56,alexbellooo,,0,0,0,"Shock horror I’m drunk again. Isolation may stop me from having Coronavirus but will it stop me from damaging my liver? Find out in tomorrow’s episode",,,,1244414018988593153,https://twitter.com/alexbellooo/status/1244414018988593153
2020-03-29 23:59:56,DennisCMcMahon,,0,0,0,"'The better you do, the faster this whole nightmare will end': Trump extends coronavirus guidelines to April 30 ",,,,1244414018112106503,https://twitter.com/DennisCMcMahon/status/1244414018112106503
2020-03-29 23:59:56,Nvermorre,,0,0,1,"Just watched the news just found out the current weather in my area is coronavirus ",,,,1244414016597811201,https://twitter.com/Nvermorre/status/1244414016597811201
2020-03-29 23:59:56,KAMckin,,0,0,0,"Queen Elizabeth's Footman Reportedly Tests Positive for Coronavirus https://www.tmz.com/2020/03/29/queen-elizabeths-footman-reportedly-tests-positive-for-coronavirus/ via @TMZ",,@TMZ,,1244414015914127360,https://twitter.com/KAMckin/status/1244414015914127360
2020-03-29 23:59:56,Hop2it5,,0,0,0,"Florida Megachurch Packed with Worshipers During Coronavirus Pandemic #SmartNews. SHAMEFUL AND IRRESPONSIBLE! ",,,#SmartNews,1244414015457165312,https://twitter.com/Hop2it5/status/1244414015457165312
2020-03-29 23:59:55,lenaweenews,,0,0,0,"#Coronavirus closings, cancellations and postponements: March 29 update ",,,#Coronavirus,1244414013959811074,https://twitter.com/lenaweenews/status/1244414013959811074
2020-03-29 23:59:55,FEkpuk,RealCandaceO,0,0,1,"I've was just saying how everyone that dies now they are giving them the coronavirus tag. On god man ",,,,1244414013670404096,https://twitter.com/FEkpuk/status/1244414013670404096
2020-03-29 23:59:55,OSHB4BE,jinspecial,0,0,0,"switch #coronavirus #BBB20 #followtrick @weareoneEXO",,@weareoneEXO,#coronavirus #BBB20 #followtrick,1244414012261044224,https://twitter.com/OSHB4BE/status/1244414012261044224
2020-03-29 23:59:54,djfenixchicago,,0,0,0,"Another 30! #socialdistancing #coronavirus #covid19",,,#socialdistancing #coronavirus #covid19,1244414009736118277,https://twitter.com/djfenixchicago/status/1244414009736118277
2020-03-29 23:59:54,WittyDuchess,erinmdurkin,0,1,3,"So all those #coronavirus deaths in New York and they are not on Lockdown yet? Pray for New Yorkers ",,,#coronavirus,1244414007101935616,https://twitter.com/WittyDuchess/status/1244414007101935616
2020-03-29 23:59:53,afievoli,realDonaldTrump,0,0,0,"THANK YOU President Trump KEEPING WE THE PEOPLE INFORMED ON THIS CORONAVIRUS Epidemic!!",,,,1244414006569455616,https://twitter.com/afievoli/status/1244414006569455616
2020-03-29 23:59:53,cangal21,,55,143,705,"So let me get this straight... People who have been saying they don't trust the media for the last 4 years, all of a sudden coronavirus happens and they hang on every word as truth? Okey dokey...",,,,1244414006514700290,https://twitter.com/cangal21/status/1244414006514700290
2020-03-29 23:59:53,NanJonesAuthor,,0,0,0,"How to remember God's abiding presence when everything around us is falling apart. #Coronavirus, cancer, prodigal children, betrayal, depression ... ALL bear the mark of the enemy. @NanJonesAuthor http://ow.ly/FTF850yZ98e #DontGiveUp #BeyondTheVeil #WhereIsGod",,@NanJonesAuthor,#Coronavirus #DontGiveUp #BeyondTheVeil #WhereIsGod,1244414006414245889,https://twitter.com/NanJonesAuthor/status/1244414006414245889
2020-03-29 23:59:53,HeartNashville,,0,0,0,"The connections between health and happiness are a long-term proposition. Beyond your worries about coronavirus, here's why and how to get started. #InternationalDayOfHappiness",,,#InternationalDayOfHappiness,1244414005508288515,https://twitter.com/HeartNashville/status/1244414005508288515
2020-03-29 23:59:53,TheEngi78919468,,1,13,23,"'Mosques' Coronavirus breeding grounds, a lot of muslims run food outlets, avoid all Muslim run food outlets and shops dont put yourself at risk.",,,,1244414004405075968,https://twitter.com/TheEngi78919468/status/1244414004405075968
2020-03-29 23:59:53,dougbies,,0,4,12,"jesus died so millennials could post thirst trap selfies wearing masks during Coronavirus",,,,1244414003276898306,https://twitter.com/dougbies/status/1244414003276898306
2020-03-29 23:59:53,kmh_1992,TheRealYvngQuan,0,0,4,"Drake is encouraging the world to stay indoors during Coronavirus pandemic by creating a new dance challenge #ToosieSlide",,,#ToosieSlide,1244414003008417798,https://twitter.com/kmh_1992/status/1244414003008417798
2020-03-29 23:59:52,BrunoMeekings,,0,2,2,"@RCVS_Richmond @Reflexology_LDN Psychological support for people isolating on account of coronavirus Phone Skype etc ",,@RCVS_Richmond @Reflexology_LDN,,1244414001334927368,https://twitter.com/BrunoMeekings/status/1244414001334927368
2020-03-29 23:59:52,LynneElmira,,0,0,0,"Maria Mercader, CBS News Veteran, Dies at 54 Due to Coronavirus https://www.yahoo.com/entertainment/maria-mercader-cbs-news-veteran-175448173.html I recognize this reporter.....she was beautiful. Sad news",,,,1244414000680579073,https://twitter.com/LynneElmira/status/1244414000680579073
2020-03-29 23:59:52,globalstratltd,,0,0,0,"I’m reporting khan! Arrest himKhan’s London: Police Want Public to Report Coronavirus ‘Hate Crimes’ ",,,,1244414000676450305,https://twitter.com/globalstratltd/status/1244414000676450305
2020-03-29 23:59:51,ChildofSolitude,Atlus_West,0,0,0,"Is it even possible to get the games on release day? Because Coronavirus.",,,,1244413997128040451,https://twitter.com/ChildofSolitude/status/1244413997128040451
2020-03-29 23:59:51,hnyKdeM,,0,0,4,"Help make it happen for C3 Test for Coronavirus &amp; COVID-19 https://igg.me/p/c3-test-for-coronavirus-covid-19/cstw/16766979 #indiegogo via @indiegogo",,@Indiegogo,#indiegogo,1244413996834238465,https://twitter.com/hnyKdeM/status/1244413996834238465
2020-03-29 23:59:51,zypherdeals,,0,0,0,"Michigan Man Credits President Trump for Surviving Coronavirus, Says Gov. Whitmer ‘Sentencing People to Death’ http://theconservativeteam.com/michigan-man-credits-president-trump-for-surviving-coronavirus-says-gov-whitmer-sentencing-people-to-death/",,,,1244413995781668869,https://twitter.com/zypherdeals/status/1244413995781668869
2020-03-29 23:59:50,JoshinShow,BillyPrempeh,0,0,1,"@GovSisolak is putting #Nevadans at risk of #coronavirus",,@GovSisolak,#Nevadans #coronavirus,1244413993495773194,https://twitter.com/JoshinShow/status/1244413993495773194
2020-03-29 23:59:50,AyeeMami001,,0,1,0,"My god RT @JoeBorelliNYC: A sad scene at Brooklyn Hospital #Covid_19 #coronavirus ",,@JoeBorelliNYC,#Covid_19 #coronavirus,1244413993055387651,https://twitter.com/AyeeMami001/status/1244413993055387651
2020-03-29 23:59:50,jperezkc,,1,8,76,"Went for a run this evening... God reminded me that no matter what happens during day he is always there at the end. #pray #coronavirus ",,,#pray #coronavirus,1244413993013391365,https://twitter.com/jperezkc/status/1244413993013391365
2020-03-29 23:59:50,GRobLewis,ScottGottliebMD,0,0,1,"Texas, long the favorite, may retire the #StupidestState trophy with their #coronavirus (lack of) response. But don’t count Florida out completely!",,,#StupidestState #coronavirus,1244413991671066626,https://twitter.com/GRobLewis/status/1244413991671066626
2020-03-29 23:59:49,DrShaneMorris,,0,2,5,"The terrible sadness of Coronavirus: Husband unable to say farewell to wife of 51 years https://www.irishtimes.com/news/ireland/irish-news/coronavirus-husband-unable-to-say-farewell-to-wife-of-51-years-1.4215100#.XoE2Nlr7ftY.twitter via @IrishTimes",,@IrishTimes,,1244413989251174400,https://twitter.com/DrShaneMorris/status/1244413989251174400
2020-03-29 23:59:49,Luc3dconsultme,,0,0,0,"Curious to know why a few U.S base companies and European based companies had pattens on #coronavirus patents From 2006. Most of us Just learned the words #coronavirus",,,#coronavirus #coronavirus,1244413986776518657,https://twitter.com/Luc3dconsultme/status/1244413986776518657
2020-03-29 23:59:49,IdahoStatesman,,0,3,5,"On Sunday morning, officials said coronavirus infections had spread to a new part of the state. ",,,,1244413986470342656,https://twitter.com/IdahoStatesman/status/1244413986470342656
2020-03-29 23:59:49,wspieler,punished_harvey,0,0,1,"we made coronavirus and also china did A Thing",,,,1244413986260615169,https://twitter.com/wspieler/status/1244413986260615169
2020-03-29 23:59:48,BertoJongman100,,0,0,0,"UK coronavirus restrictions could last six months – deputy chief medical officer ",,,,1244413985237217281,https://twitter.com/BertoJongman100/status/1244413985237217281
2020-03-29 23:59:48,houstonhoneydo,,0,0,0,"""Dr. Anthony Fauci says US could see more than 100,000 coronavirus-related deaths"" ",,,,1244413985031622657,https://twitter.com/houstonhoneydo/status/1244413985031622657
2020-03-29 23:59:48,business,,4,8,16,"U.K. response unit to tackle coronavirus misinformation online ",,,,1244413983593037831,https://twitter.com/business/status/1244413983593037831
